Time_abs/ps, Signal/nA
  1032.550,     2.603462
  1032.600,     2.504255
  1032.650,     2.409537
  1032.700,     2.312546
  1032.750,     2.220589
  1032.800,     2.124043
  1032.850,     2.029549
  1032.900,     1.938808
  1032.950,     1.842977
  1033.000,     1.747700
  1033.050,     1.659075
  1033.100,     1.571603
  1033.150,     1.488102
  1033.200,     1.408442
  1033.250,     1.330774
  1033.300,     1.256714
  1033.350,     1.189132
  1033.400,     1.127493
  1033.450,     1.065299
  1033.500,     1.007278
  1033.550,     0.956551
  1033.600,     0.903060
  1033.650,     0.851895
  1033.700,     0.802587
  1033.750,     0.750538
  1033.800,     0.694691
  1033.850,     0.643347
  1033.900,     0.586664
  1033.950,     0.531151
  1034.000,     0.474035
  1034.050,     0.418545
  1034.100,     0.367698
  1034.150,     0.320374
  1034.200,     0.271992
  1034.250,     0.225704
  1034.300,     0.182602
  1034.350,     0.142988
  1034.400,     0.103499
  1034.450,     0.064273
  1034.500,     0.025057
  1034.550,    -0.011018
  1034.600,    -0.047060
  1034.650,    -0.084201
  1034.700,    -0.113755
  1034.750,    -0.138008
  1034.800,    -0.163232
  1034.850,    -0.178992
  1034.900,    -0.195781
  1034.950,    -0.205216
  1035.000,    -0.212642
  1035.050,    -0.217030
  1035.100,    -0.217968
  1035.150,    -0.212759
  1035.200,    -0.208978
  1035.250,    -0.199353
  1035.300,    -0.192910
  1035.350,    -0.180270
  1035.400,    -0.165937
  1035.450,    -0.150988
  1035.500,    -0.137746
  1035.550,    -0.122569
  1035.600,    -0.108212
  1035.650,    -0.092308
  1035.700,    -0.082271
  1035.750,    -0.078337
  1035.800,    -0.074074
  1035.850,    -0.073650
  1035.900,    -0.075671
  1035.950,    -0.084735
  1036.000,    -0.091804
  1036.050,    -0.101877
  1036.100,    -0.115656
  1036.150,    -0.130091
  1036.200,    -0.146727
  1036.250,    -0.164368
  1036.300,    -0.185513
  1036.350,    -0.210730
  1036.400,    -0.234884
  1036.450,    -0.260461
  1036.500,    -0.292073
  1036.550,    -0.321434
  1036.600,    -0.350726
  1036.650,    -0.378807
  1036.700,    -0.408342
  1036.750,    -0.434539
  1036.800,    -0.455793
  1036.850,    -0.475672
  1036.900,    -0.493180
  1036.950,    -0.509798
  1037.000,    -0.524173
  1037.050,    -0.534660
  1037.100,    -0.542971
  1037.150,    -0.552943
  1037.200,    -0.561435
  1037.250,    -0.563618
  1037.300,    -0.568967
  1037.350,    -0.576304
