solution: [325. 650. 125.], best minimum: [324.27 650.38 126.32], log(fx)=0.0027778943052318913, p[1] estimate: 598.03
truth: [285. 740. 176.], found: [284.76 740.64 174.03], log(fx)=-7.377, p0: [250, 750, 250], success?: True

# 25 -> 20 iterations
truth: [325. 650. 125.], found: [324.66 650.53 124.94], log(fx)=-7.246, p0: [400, 600, 150], success?: True
truth: [225. 650. 125.], found: [225.27 649.93 124.67], log(fx)=-8.625, p0: [150, 800, 150], success?: True
truth: [125. 650. 125.], found: [123.72 650.15 125.49], log(fx)=-7.081, p0: [150, 600, 150], success?: True
truth: [125. 650. 375.], found: [124.71 650.71 374.96], log(fx)=-6.727, p0: [200, 650, 350], success?: True
truth: [275. 600. 175.], found: [277.04 599.62 172.54], log(fx)=-6.101, p0: [300, 600, 200], success?: True
truth: [325. 620.  50.], found: [327.35 619.43  49.74], log(fx)=-5.562, p0: [450, 600, 50], success?: True
truth: [275. 675. 200.], found: [275.52 674.49 200.6 ], log(fx)=-7.663, p0: [250, 700, 200], success?: True
truth: [400. 680. 125.], found: [399.85 679.89 124.24], log(fx)=-7.541, p0: [400, 650, 150], success?: True
truth: [250. 600. 250.], found: [250. 600. 250.], log(fx)=-inf, p0: [250, 600, 250], success?: True
truth: [300. 620. 200.], found: [300.96 619.9  201.46], log(fx)=-7.1, p0: [350, 600, 200], success?: True
truth: [200. 620. 300.], found: [200.51 619.1  300.54], log(fx)=-6.413, p0: [200, 650, 250], success?: True
truth: [ 47. 640.  74.], found: [ 47.07 639.78  73.03], log(fx)=-7.574, p0: [50, 600, 100], success?: True
truth: [ 90. 750. 110.], found: [ 88.88 751.52 108.5 ], log(fx)=-6.078, p0: [100, 750, 100], success?: True
truth: [450. 700. 400.], found: [450. 700. 400.], log(fx)=-inf, p0: [450, 700, 400], success?: True
truth: [176. 581. 156.], found: [177.75 580.27 156.69], log(fx)=-6.636, p0: [200, 700, 150], success?: True
truth: [ 93. 747. 301.], found: [ 92.5  747.7  301.16], log(fx)=-7.914, p0: [100, 750, 300], success?: True
truth: [191. 427. 300.], found: [190.8  425.64 305.1 ], log(fx)=-5.097, p0: [150, 550, 250], success?: False
truth: [289. 436.  72.], found: [288.9  436.43  70.98], log(fx)=-7.09, p0: [300, 450, 100], success?: True
truth: [144. 494. 359.], found: [144.83 493.87 360.8 ], log(fx)=-6.541, p0: [150, 600, 400], success?: True
truth: [ 67. 541. 237.], found: [ 67.05 540.   237.3 ], log(fx)=-6.804, p0: [100, 550, 250], success?: True
truth: [357. 745. 361.], found: [348.72 749.54 357.67], log(fx)=-4.643, p0: [350, 750, 450], success?: False
truth: [140. 704. 226.], found: [140.   704.27 226.05], log(fx)=-8.395, p0: [150, 700, 250], success?: True
truth: [136. 648. 106.], found: [136.   648.27 105.74], log(fx)=-7.064, p0: [200, 650, 100], success?: True
truth: [ 85. 575. 165.], found: [ 85.04 575.19 165.36], log(fx)=-7.822, p0: [100, 650, 150], success?: True
truth: [159. 619. 436.], found: [158.76 619.86 435.75], log(fx)=-7.188, p0: [150, 650, 450], success?: True
truth: [326. 657. 340.], found: [328.4  656.62 338.72], log(fx)=-6.601, p0: [400, 650, 350], success?: True
truth: [425. 418.  50.], found: [425.8  417.9   49.58], log(fx)=-7.042, p0: [450, 450, 50], success?: True
truth: [188. 671. 175.], found: [186.86 670.87 176.16], log(fx)=-7.071, p0: [200, 700, 200], success?: True
truth: [363. 642.  94.], found: [363.3  641.81  93.43], log(fx)=-8.224, p0: [350, 650, 100], success?: True
truth: [404. 536. 270.], found: [405.18 535.26 273.06], log(fx)=-6.402, p0: [400, 650, 300], success?: True
truth: [376. 741. 300.], found: [373.55 741.54 303.42], log(fx)=-5.289, p0: [350, 700, 400], success?: True
truth: [109. 684. 178.], found: [110.63 683.76 178.94], log(fx)=-6.358, p0: [100, 750, 250], success?: True
truth: [267. 635. 142.], found: [265.26 636.67 138.56], log(fx)=-7.161, p0: [250, 700, 150], success?: True
truth: [ 54. 691.  70.], found: [ 53.69 690.89  69.47], log(fx)=-8.512, p0: [50, 650, 100], success?: True
truth: [377. 498.  80.], found: [376.42 500.14  82.1 ], log(fx)=-6.322, p0: [350, 500, 100], success?: True
truth: [288. 472. 136.], found: [288.77 471.25 135.42], log(fx)=-9.797, p0: [250, 600, 150], success?: True
truth: [254. 420. 152.], found: [255.24 418.48 155.52], log(fx)=-6.52, p0: [350, 400, 150], success?: True
truth: [151. 543. 251.], found: [150.76 542.43 251.  ], log(fx)=-7.447, p0: [150, 550, 250], success?: True
truth: [110. 632. 125.], found: [110.72 631.85 123.74], log(fx)=-6.884, p0: [100, 800, 150], success?: True
truth: [182. 556. 218.], found: [181.99 556.12 219.02], log(fx)=-7.587, p0: [200, 650, 200], success?: True
truth: [212. 633. 446.], found: [210.46 633.55 444.2 ], log(fx)=-6.275, p0: [200, 700, 450], success?: True
truth: [103. 602. 373.], found: [103.53 601.64 373.29], log(fx)=-8.215, p0: [100, 600, 450], success?: True
truth: [435. 717. 121.], found: [435.52 715.72 120.65], log(fx)=-4.813, p0: [400, 800, 150], success?: True
truth: [ 84. 729. 154.], found: [ 83.69 728.38 157.99], log(fx)=-6.655, p0: [100, 500, 250], success?: True
truth: [421. 786. 125.], found: [420.26 785.19 129.25], log(fx)=-5.96, p0: [450, 650, 150], success?: True
truth: [435. 659. 145.], found: [435.37 658.   148.49], log(fx)=-7.632, p0: [450, 650, 150], success?: True
truth: [370. 706. 134.], found: [368.92 706.34 134.6 ], log(fx)=-7.139, p0: [400, 700, 150], success?: True
truth: [ 88. 678. 225.], found: [ 89.38 676.6  226.5 ], log(fx)=-5.945, p0: [100, 750, 200], success?: True
truth: [281. 686. 190.], found: [283.07 685.05 188.73], log(fx)=-5.612, p0: [350, 600, 200], success?: True
truth: [173. 427. 217.], found: [169.61 429.32 221.17], log(fx)=-6.181, p0: [150, 550, 200], success?: True
truth: [142. 522. 211.], found: [141.24 522.72 211.63], log(fx)=-6.488, p0: [250, 450, 300], success?: True
truth: [425. 472. 127.], found: [424.6  471.98 126.56], log(fx)=-7.339, p0: [350, 500, 300], success?: True
truth: [232. 766.  93.], found: [231.4  766.04  93.44], log(fx)=-7.321, p0: [250, 800, 100], success?: True
truth: [205. 431. 209.], found: [205.   430.34 210.24], log(fx)=-7.008, p0: [150, 450, 300], success?: True
truth: [400. 532. 312.], found: [401.94 530.67 313.31], log(fx)=-5.772, p0: [400, 600, 350], success?: True
truth: [425. 469. 294.], found: [425.4  469.03 294.  ], log(fx)=-7.658, p0: [450, 450, 300], success?: True
truth: [ 75. 449. 216.], found: [ 74.7  449.55 215.22], log(fx)=-6.914, p0: [100, 550, 200], success?: True
truth: [109. 754. 286.], found: [107.97 753.74 284.44], log(fx)=-5.771, p0: [150, 650, 300], success?: True
